UID,EventType,EventName,LocalTime,StayTime,Source,OS,Gender,Age,Level,Version,isGray
05982599,browse,Activity,1686323047945,0,push,Android,f,50,0,4.13,N,
05982599,browse,GoodList,1686323050119,2174,push,Android,f,50,0,4.13,N,
05982599,browse,Activity,1686323052125,2006,push,Android,f,50,0,4.13,N,
05982599,browse,GoodList,1686323054058,1933,push,Android,f,50,0,4.13,N,
05982599,browse,Videos,1686323055894,1836,push,Android,f,50,0,4.13,N,
05982599,browse,Live,1686323057854,1960,push,Android,f,50,0,4.13,N,
05982599,browse,Videos,1686323059935,2081,push,Android,f,50,0,4.13,N,
05982599,browse,GoodDetail,1686323062051,2116,push,Android,f,50,0,4.13,N,
05982599,click,AddToCart,1686323064172,2121,push,Android,f,50,0,4.13,N,
08471166,browse,Activity,1686311628106,2121,push,iOS,m,17,0,4.13,N,
08471166,browse,Videos,1686311630139,2033,push,iOS,m,17,0,4.13,N,
08471166,browse,GoodList,1686311632321,2182,push,iOS,m,17,0,4.13,N,
08471166,browse,Activity,1686311634211,1890,push,iOS,m,17,0,4.13,N,
08471166,browse,GoodList,1686311636264,2053,push,iOS,m,17,0,4.13,N,
08471166,browse,GoodDetail,1686311638127,1863,push,iOS,m,17,0,4.13,N,
08471166,browse,Videos,1686311640141,2014,push,iOS,m,17,0,4.13,N,
08471166,click,AddToCart,1686311642084,1943,push,iOS,m,17,0,4.13,N,
01530114,browse,Activity,1686313100519,1943,push,Android,m,38,0,4.13,N,
01530114,browse,Videos,1686313102462,1943,push,Android,m,38,0,4.13,N,
01530114,browse,GoodList,1686313104327,1865,push,Android,m,38,0,4.13,N,
01530114,browse,GoodDetail,1686313106291,1964,push,Android,m,38,0,4.13,N,
01530114,browse,GoodList,1686313108302,2011,push,Android,m,38,0,4.13,N,
01530114,browse,GoodDetail,1686313110283,1981,push,Android,m,38,0,4.13,N,
01530114,browse,GoodList,1686313112380,2097,push,Android,m,38,0,4.13,N,
01530114,browse,Settings,1686313114307,1927,push,Android,m,38,0,4.13,N,
01530114,browse,GoodDetail,1686313116335,2028,push,Android,m,38,0,4.13,N,
01530114,browse,GoodList,1686313118069,1734,push,Android,m,38,0,4.13,N,
01530114,browse,GoodDetail,1686313120075,2006,push,Android,m,38,0,4.13,N,
01530114,browse,Videos,1686313121983,1908,push,Android,m,38,0,4.13,N,
01530114,browse,Videos,1686313123998,2015,push,Android,m,38,0,4.13,N,
01530114,browse,Videos,1686313125978,1980,push,Android,m,38,0,4.13,N,
01530114,click,Payment,1686313127928,1950,push,Android,m,38,0,4.13,N,
01530114,browse,Videos,1686313130006,2078,push,Android,m,38,0,4.13,N,
01530114,browse,PaySuccess,1686313132047,2041,push,Android,m,38,0,4.13,N,
15220550,browse,Activity,1686319798391,2041,push,Android,m,41,1,4.13,N,
15220550,browse,Live,1686319800396,2005,push,Android,m,41,1,4.13,N,
15220550,browse,GoodList,1686319802283,1887,push,Android,m,41,1,4.13,N,
15220550,browse,Instructions,1686319804490,2207,push,Android,m,41,1,4.13,N,
15220550,browse,Videos,1686319806549,2059,push,Android,m,41,1,4.13,N,
15220550,browse,GoodDetail,1686319808573,2024,push,Android,m,41,1,4.13,N,
15220550,browse,Live,1686319810634,2061,push,Android,m,41,1,4.13,N,
15220550,click,Payment,1686319812690,2056,push,Android,m,41,1,4.13,N,
15220550,browse,Live,1686319814638,1948,push,Android,m,41,1,4.13,N,
15220550,browse,Videos,1686319816513,1875,push,Android,m,41,1,4.13,N,
15220550,browse,Videos,1686319818530,2017,push,Android,m,41,1,4.13,N,
15220550,browse,PaySuccess,1686319820602,2072,push,Android,m,41,1,4.13,N,
08342508,browse,Activity,1686309006016,2072,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodList,1686309007907,1891,push,iOS,f,52,0,4.13,N,
08342508,browse,Live,1686309009724,1817,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodDetail,1686309011810,2086,push,iOS,f,52,0,4.13,N,
08342508,browse,Videos,1686309013790,1980,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodList,1686309015746,1956,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodDetail,1686309017716,1970,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodList,1686309019710,1994,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodDetail,1686309021817,2107,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodList,1686309023929,2112,push,iOS,f,52,0,4.13,N,
08342508,browse,GoodDetail,1686309026037,2108,push,iOS,f,52,0,4.13,N,
08342508,click,AddToCart,1686309028161,2124,push,iOS,f,52,0,4.13,N,
18430794,browse,Activity,1686318803142,2124,push,Android,f,33,0,4.13,N,
18430794,browse,Videos,1686318805039,1897,push,Android,f,33,0,4.13,N,
18430794,browse,GoodList,1686318806815,1776,push,Android,f,33,0,4.13,N,
18430794,browse,Live,1686318808712,1897,push,Android,f,33,0,4.13,N,
18430794,browse,GoodDetail,1686318810775,2063,push,Android,f,33,0,4.13,N,
18430794,click,AddToCart,1686318812833,2058,push,Android,f,33,0,4.13,N,
10182735,browse,Activity,1686324571041,2058,natural,Android,f,23,0,4.13,N,
10182735,browse,Live,1686324572913,1872,natural,Android,f,23,0,4.13,N,
10182735,browse,GoodList,1686324574964,2051,natural,Android,f,23,0,4.13,N,
10182735,browse,Activity,1686324577005,2041,natural,Android,f,23,0,4.13,N,
10182735,browse,GoodList,1686324579068,2063,natural,Android,f,23,0,4.13,N,
10182735,browse,GoodDetail,1686324580969,1901,natural,Android,f,23,0,4.13,N,
10182735,browse,Instructions,1686324582981,2012,natural,Android,f,23,0,4.13,N,
10182735,browse,GoodList,1686324585070,2089,natural,Android,f,23,0,4.13,N,
10182735,browse,Videos,1686324587109,2039,natural,Android,f,23,0,4.13,N,
10182735,browse,Live,1686324589225,2116,natural,Android,f,23,0,4.13,N,
10182735,browse,Live,1686324591292,2067,natural,Android,f,23,0,4.13,N,
10182735,browse,Live,1686324593240,1948,natural,Android,f,23,0,4.13,N,
10182735,browse,GoodDetail,1686324595258,2018,natural,Android,f,23,0,4.13,N,
10182735,click,AddToCart,1686324597272,2014,natural,Android,f,23,0,4.13,N,
06102118,browse,Activity,1686311597021,2014,natural,Android,f,27,0,4.13,N,
06102118,browse,GoodList,1686311599251,2230,natural,Android,f,27,0,4.13,N,
06102118,browse,Live,1686311601259,2008,natural,Android,f,27,0,4.13,N,
06102118,browse,Live,1686311603175,1916,natural,Android,f,27,0,4.13,N,
06102118,browse,Videos,1686311605154,1979,natural,Android,f,27,0,4.13,N,
06102118,browse,Activity,1686311607231,2077,natural,Android,f,27,0,4.13,N,
06102118,browse,Videos,1686311609312,2081,natural,Android,f,27,0,4.13,N,
06102118,browse,GoodList,1686311611475,2163,natural,Android,f,27,0,4.13,N,
06102118,browse,GoodDetail,1686311613596,2121,natural,Android,f,27,0,4.13,N,
06102118,browse,GoodList,1686311615746,2150,natural,Android,f,27,0,4.13,N,
06102118,browse,Settings,1686311617964,2218,natural,Android,f,27,0,4.13,N,
06102118,browse,Instructions,1686311619958,1994,natural,Android,f,27,0,4.13,N,
06102118,browse,GoodDetail,1686311621835,1877,natural,Android,f,27,0,4.13,N,
06102118,browse,Videos,1686311623625,1790,natural,Android,f,27,0,4.13,N,
06102118,browse,Videos,1686311625840,2215,natural,Android,f,27,0,4.13,N,
06102118,browse,Videos,1686311627813,1973,natural,Android,f,27,0,4.13,N,
06102118,click,AddToCart,1686311629720,1907,natural,Android,f,27,0,4.13,N,
13056440,browse,Activity,1686310322961,1907,push,Android,f,48,2,4.13,N,
13056440,browse,Instructions,1686310324972,2011,push,Android,f,48,2,4.13,N,
13056440,browse,GoodList,1686310326946,1974,push,Android,f,48,2,4.13,N,
13056440,browse,GoodDetail,1686310328837,1891,push,Android,f,48,2,4.13,N,
13056440,browse,GoodList,1686310330865,2028,push,Android,f,48,2,4.13,N,
13056440,browse,GoodDetail,1686310332912,2047,push,Android,f,48,2,4.13,N,
13056440,browse,GoodList,1686310335017,2105,push,Android,f,48,2,4.13,N,
13056440,browse,Live,1686310337046,2029,push,Android,f,48,2,4.13,N,
13056440,browse,GoodDetail,1686310339055,2009,push,Android,f,48,2,4.13,N,
13056440,browse,Live,1686310340913,1858,push,Android,f,48,2,4.13,N,
13056440,browse,GoodList,1686310342925,2012,push,Android,f,48,2,4.13,N,
